op,pid,latency_ticks,cs_ticks,flags
2,7,38712,20240,0
3,7,18455,0,0
2,7,28762,10290,0
3,7,18455,0,0
2,8,2435213,911611,0
3,8,40508,20807,0
2,8,39416,20569,0
3,8,18474,0,0
2,8,49468,30489,0
3,8,18455,0,0
2,8,38712,20240,0
3,8,39201,20240,0
2,8,38749,20265,0
3,8,18473,0,0
2,8,28779,10306,0
3,8,39814,20240,0
2,8,28908,10338,0
3,8,39200,20239,0
2,8,38690,20217,0
3,8,18455,0,0
2,8,38847,20325,0
3,8,39235,20256,0
2,8,38762,20266,0
3,8,18473,0,0
2,8,28773,10301,0
3,8,18455,0,0
2,8,38712,20240,0
3,8,18455,0,0
2,9,2436703,970725,0
3,9,41118,21405,0
2,9,29336,10267,0
3,9,18455,0,0
2,9,39183,20631,0
3,9,39433,20431,0
2,9,38805,20265,0
3,9,18475,0,0
2,9,49583,30571,0
3,9,18455,0,0
2,9,38826,20328,0
3,9,18455,0,0
2,9,39584,20353,0
3,9,39426,20437,0
2,9,38888,20301,0
3,9,18475,0,0
2,9,38824,20326,0
3,9,18455,0,0
2,9,38873,20353,0
3,9,18475,0,0
2,9,28934,10440,0
3,9,18455,0,0
2,9,38823,20346,0
3,9,18455,0,0
2,9,28852,10354,0
2,10,2440242,938967,0
3,10,18915,0,0
2,10,52181,32192,0
3,10,18626,0,0
2,10,28939,10347,0
3,10,39241,20280,0
2,10,39336,20493,0
3,10,39486,20373,0
2,10,29021,10482,0
3,10,39211,20250,0
2,10,38710,20237,0
3,10,18455,0,0
2,10,50744,30739,0
3,10,18574,0,0
2,10,39524,20613,0
3,10,18567,0,0
2,10,49547,30530,0
3,10,18455,0,0
2,10,38764,20292,0
3,10,18455,0,0
2,10,39355,20517,0
3,10,18561,0,0
2,10,49611,30584,0
3,10,18483,0,0
2,7,2427974,961415,0
3,7,18923,0,0
2,7,29918,10787,0
3,7,18455,0,0
2,7,39232,20714,0
3,7,18474,0,0
2,7,38730,20257,0
3,7,39239,20278,0
2,7,38761,20265,0
3,7,18473,0,0
2,7,38717,20244,0
3,7,18455,0,0
2,7,28750,10278,0
3,7,18455,0,0
2,7,39366,20289,0
3,7,18492,0,0
2,7,39594,20569,0
3,7,18455,0,0
2,7,38804,20308,0
3,7,39235,20256,0
2,7,39445,20467,0
3,7,18455,0,0
2,7,49491,30489,0
3,7,18473,0,0
2,7,38772,20276,0
3,7,18473,0,0
2,8,2426342,921613,0
3,8,18869,0,0
2,8,29910,10871,0
3,8,18455,0,0
2,8,28761,10289,0
3,8,18455,0,0
2,8,28762,10290,0
3,8,39239,20278,0
2,8,39075,20545,0
3,8,18474,0,0
2,8,39474,20495,0
3,8,18455,0,0
2,8,49491,30489,0
3,8,19106,0,0
2,8,39515,20490,0
3,8,18455,0,0
2,8,38711,20239,0
3,8,39201,20240,0
2,8,38690,20217,0
3,8,18455,0,0
2,8,38821,20325,0
3,8,18473,0,0
2,8,28779,10306,0
3,8,18455,0,0
2,8,28762,10290,0
3,8,18455,0,0
2,8,28762,10290,0
3,9,2422569,880169,0
2,9,31310,11448,0
3,9,18595,0,0
2,9,39203,20669,0
3,9,18507,0,0
2,9,38824,20326,0
3,9,18455,0,0
2,9,38853,20333,0
3,9,18475,0,0
2,9,28916,10418,0
3,9,18455,0,0
2,9,39608,20605,0
3,9,18455,0,0
2,9,38817,20317,0
3,9,19060,0,0
2,9,29016,10436,0
3,9,18455,0,0
2,9,38817,20320,0
3,9,39314,20353,0
2,9,38715,20217,0
3,9,18455,0,0
2,9,38881,20361,0
3,9,18475,0,0
2,9,49553,30549,0
3,9,18455,0,0
2,9,38853,20333,0
2,10,2436844,859273,0
3,10,18928,0,0
2,10,52364,32061,0
3,10,18568,0,0
2,10,38897,20332,0
3,10,39241,20280,0
2,10,50172,30793,0
3,10,18589,0,0
2,10,39549,20524,0
3,10,18455,0,0
2,10,39359,20539,0
3,10,18517,0,0
2,10,39785,20570,0
3,10,39376,20361,0
2,10,49527,30437,0
3,10,18455,0,0
2,10,38722,20250,0
3,10,18455,0,0
2,10,28784,10311,0
3,10,18455,0,0
2,10,28772,10299,0
3,10,18455,0,0
2,10,28784,10311,0
3,10,18455,0,0
2,10,28794,10311,0
2,7,2421717,8608560497,0
3,8,18473,0,0
2,8,38764,20268,0
3,8,18473,0,0
2,8,39485,20506,0
3,8,18455,0,0
2,8,38765,20269,0
3,8,18473,0,0
2,8,28779,10306,0
3,8,18455,0,0
2,8,39618,20640,0
3,8,18455,0,0
2,8,28762,10290,0
2,9,2452260,950039,0
3,9,18761,0,0
2,9,30337,11295,0
3,9,18455,0,0
2,9,28916,10419,0
3,9,18455,0,0
2,9,39284,20740,0
3,9,18507,0,0
2,9,39604,20600,0
3,9,18455,0,0
2,9,28830,10354,0
3,9,18455,0,0
2,9,38880,20370,0
3,9,18475,0,0
2,9,29578,10400,0
3,9,18460,0,0
2,9,28957,10424,0
3,9,18455,0,0
2,9,38819,20321,0
3,9,18455,0,0
2,9,38905,20365,0
3,9,18475,0,0
2,9,28940,10442,0
3,9,39315,20354,0
2,9,28743,10267,0
3,9,39318,20337,0
2,9,38756,20246,0
2,10,2446944,909044,0
3,10,41059,21361,0
2,10,50072,30429,0
